Used,Model,Accuracy,Precision,Recall,F1Score,TruePos,FalsePos,FalseNeg,TrueNeg
EFA3D,SVM,0.7264314632735686,0.7325066430469442,0.7156042688203057,0.723956813539539,2543.0,906.0,986.0,2481.0
EFA3D,LogisticRegression,0.7254193175245807,0.7300469483568075,0.7176233054513989,0.7237818181818182,2529.0,920.0,979.0,2488.0
EFA3D,DecisionTreeClassifier,0.683342972816657,0.6896346896346897,0.6697432939140467,0.6795434591747147,2404.0,1045.0,1145.0,2322.0
EFA3D,RandomForestClassifier,0.7255639097744361,0.7187064399219404,0.7435823478511682,0.7309328040827899,2440.0,1009.0,889.0,2578.0
EFA3D,GaussianNB,0.7257085020242915,0.7303403755868545,0.7179117392558407,0.7240727272727273,2530.0,919.0,978.0,2489.0
EFA4D,SVM,0.7262868710237131,0.7314705882352941,0.717334871646957,0.7243337702053299,2536.0,913.0,980.0,2487.0
EFA4D,LogisticRegression,0.7271544245228456,0.7297847585805701,0.7236804153446784,0.7267197682838523,2520.0,929.0,958.0,2509.0
EFA4D,DecisionTreeClassifier,0.6917293233082706,0.6915351506456241,0.6951254687049322,0.693325661680092,2374.0,1075.0,1057.0,2410.0
EFA4D,RandomForestClassifier,0.7225274725274725,0.7087378640776699,0.7580040380732622,0.7325435540069687,2369.0,1080.0,839.0,2628.0
EFA4D,GaussianNB,0.7246963562753036,0.7273785277858598,0.7210845111047015,0.7242178447276941,2512.0,937.0,967.0,2500.0
LDA,SVM,0.7274436090225563,0.7351367419738407,0.7132967983847707,0.7240521153564632,2558.0,891.0,994.0,2473.0
LDA,LogisticRegression,0.7294679005205321,0.7329246935201401,0.7242572829535622,0.7285652110837081,2534.0,915.0,956.0,2511.0
LDA,DecisionTreeClassifier,0.7044534412955465,0.7215820616630333,0.6683011248918374,0.6939203354297694,2555.0,894.0,1150.0,2317.0
LDA,RandomForestClassifier,0.7239733950260266,0.7352053140096618,0.7023363138159793,0.7183950435167429,2572.0,877.0,1032.0,2435.0
LDA,GaussianNB,0.728744939271255,0.7334898737892575,0.7207960773002596,0.7270875763747454,2541.0,908.0,968.0,2499.0
PCA2D,SVM,0.7264314632735686,0.7336102046870365,0.7132967983847707,0.7233109096226967,2551.0,898.0,994.0,2473.0
PCA2D,LogisticRegression,0.7255639097744361,0.731211317418214,0.7156042688203057,0.7233236151603498,2537.0,912.0,986.0,2481.0
PCA2D,DecisionTreeClassifier,0.6862348178137652,0.697292363857621,0.6610902797807903,0.6787089132366005,2454.0,995.0,1175.0,2292.0
PCA2D,RandomForestClassifier,0.7213707345286293,0.7098092643051771,0.7513700605710989,0.7299985988510579,2384.0,1065.0,862.0,2605.0
PCA2D,GaussianNB,0.7252747252747253,0.733115144302291,0.7107008941447938,0.7217340363210311,2552.0,897.0,1003.0,2464.0
PCA3D,SVM,0.7239733950260266,0.7289829512051734,0.7153158350158638,0.7220847284903188,2527.0,922.0,987.0,2480.0
PCA3D,LogisticRegression,0.7258530942741469,0.7310973815828185,0.7167580040380732,0.7238566851150597,2535.0,914.0,982.0,2485.0
PCA3D,DecisionTreeClassifier,0.6756795835743205,0.6840048105832832,0.6561869051052783,0.6698071544236714,2398.0,1051.0,1192.0,2275.0
PCA3D,RandomForestClassifier,0.7209369577790631,0.707534431541993,0.7556965676377272,0.7308228730822873,2366.0,1083.0,847.0,2620.0
PCA3D,GaussianNB,0.7258530942741469,0.7326029019840095,0.7135852321892125,0.722969023962595,2546.0,903.0,993.0,2474.0
